,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1. ח. השקעות אחרות ,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,מספר הנייר,דירוג,שם המדרג,שעור הריבית,סוג מטבע,תשואה לפדיון,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,אחוזים,,אחוזים,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,
,"סה""כ השקעות אחרות",,,,,,0.00,43.68,100.00,0.00,,,,,
,בישראל,,,,,,,,,,,,,,
,בינלאומי כתב התחיבות ו(פידיון לקבל),11102790,0,מידרוג,0.00,שקל חדש,0.00,10.13,23.19,0.00,,,,,
,דיסקונט הון ראשוני מורכב 1(ריבית לקבל),6910095,0,מעלות,0.00,שקל חדש,0.00,9.63,22.04,0.00,,,,,
,גב ים  1(דיבידנד לקבל),759019,0,מעלות,0.00,שקל חדש,0.00,0.37,0.86,0.00,,,,,
,אשטרום(דיבידנד לקבל),1132315,0,מעלות,0.00,שקל חדש,0.00,2.34,5.36,0.00,,,,,
,חשמל אגח 27(ריבית לקבל),6000210,0,פנימי,0.00,שקל חדש,0.00,18.59,42.55,0.00,,,,,
,שופרסל(דיבידנד לקבל),777037,0,מעלות,0.00,שקל חדש,0.00,2.28,5.22,0.00,,,,,
,דש איפקס(דיבידנד לקבל),1081843,0,מעלות,0.00,שקל חדש,0.00,0.34,0.77,0.00,,,,,
,"סה""כ בישראל",,,,,,0.00,43.68,100.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
