,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
,"סה""כ מניות",,,,,,"2,385,319.99",,"4,381.92",,100.00,0.06,,,,,
,בישראל,,,,,,,,,,,,,,,,
,ת.ש.י דרכים שמ מר דרך א- IIF,6254,,8447,אחר,שקל חדש,"2,339,937.00",175.88,"4,115.59",0.00,93.92,0.05,,,,,
,"צים מ""ר 0.03 ש""ח ל.סחיר- צים",6511950,,651,שירותים,דולר אמריקאי,"1,119.00","6,320.00",266.33,0.00,6.08,0.00,,,,,
,"סה""כ בישראל",,,,,,"2,341,056.00",,"4,381.92",,100.00,0.06,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,
,DELEK GLOBAL- דלק בלרון,JE00B1S0VN88,אחר,8253,"נדל""ן ובינוי",לירה שטרלינג,"44,263.99",0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות זרות בחו""ל",,,,,,"44,263.99",,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,"44,263.99",,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
