,תאריך הדיווח,31/03/2016,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,
,,,,,,,,
,,,,,,,,
,1. ט. יתרות התחייבות להשקעה:,,,,,,,
,שם המנפיק/שם נייר ערך,סכום ההתחייבות,תאריך סיום ההתחייבות,,,,,
,,אלפי ₪,תאריך,,,,,
,,(1),(2),,,,,
,"סה""כ יתרות התחייבות להשקעה","1,704.25",,,,,,
,בישראל,,,,,,,
,"גורם ל""ה", 	508.20 ,5/31/16,,,,,
,"גורם נ""ג "," 	1,196.06 ",10/17/18,,,,,
,"סה""כ בישראל","1,704.25",,,,,,
,"בחו""ל",,,,,,,
,0,0.00,,,,,,
,"סה""כ בחו""ל",0.00,,,,,,
