,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,
,"סה""כ אג""ח קונצרני",,,,,,,,4.38,,,1.67,"62,340,831.51",,"128,845.09",,100.00,2.99,,
,בישראל,,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,,
,%3.5 טפחות שטר הון- בנק מזרחי טפחות,6683262,,668,בנקים,AA+,מעלות,31/12/05,1.74,שקל חדש,5.30,0.55,"1,140,000.00",134.29,"1,530.91",0.00,1.19,0.04,,
,2  לאומי כ. התחייבות- לאומי,6404354,,604,בנקים,AA+,מעלות,31/12/05,3.09,שקל חדש,6.50,0.65,"1,500,000.00",156.44,"2,346.60",0.00,1.82,0.05,,
,220 לאומי כ. התחיבות- לאומי,6401533,,604,בנקים,AA+,מעלות,30/01/14,3.17,שקל חדש,6.35,0.67,"1,000,004.00",155.75,"1,557.51",0.00,1.21,0.04,,
,9102/0 טפחות שטר הון- בנק מזרחי טפחות,6683270,,668,בנקים,AA+,מעלות,31/12/05,1.79,שקל חדש,5.15,0.54,"540,000.00",134.17,724.52,0.00,0.56,0.02,,
,סופר גז- סופרגז,1106822,,8243,שירותים,AA+,מעלות,19/08/07,4.49,שקל חדש,4.90,0.98,"292,459.20",141.89,414.97,0.05,0.32,0.01,,
,פועלים שטר הון 5.4%- בנק הפועלים,6620330,,662,בנקים,AA+,מעלות,14/12/04,1.71,שקל חדש,5.40,0.75,"7,000,000.00",237.41,"16,618.70",0.00,12.90,0.39,,
,פועלים שטר הון נדחה- בנק הפועלים,6620314,,662,בנקים,AA+,מעלות,21/11/04,3.38,שקל חדש,8.76,0.62,"5,000,000.00",239.89,"11,994.50",0.00,9.31,0.28,,
,הראל בטוח כ.התחייבות 1- הראל חברה לביטוח,1089655,,1175,ביטוח,AA,מעלות,31/12/05,1.96,שקל חדש,5.55,0.54,"651,547.89",135.29,881.48,0.33,0.68,0.02,,
,אוצר החייל כ.התח 03/26 3.95%- אוצר החייל,6014211,,8015,בנקים,Aa3,מידרוג,23/03/11,5.13,שקל חדש,3.95,1.04,"1,000,000.00",118.98,"1,189.80",0.00,0.92,0.03,,
,די בי אס ב 11/19 5.35%- די בי אס - יס,1121490,,8446,שירותים,AA-,פנימי,10/11/10,2.05,שקל חדש,5.71,0.10,"783,000.04",118.30,926.29,0.00,0.72,0.02,,
,"דיסקונט כ""ה 09/22 3.8%- דיסקונט",6390041,,691,בנקים,AA-,מעלות,12/02/12,5.85,שקל חדש,3.80,0.91,"1,300,000.00",121.75,"1,582.75",0.00,1.23,0.04,,
,מר.דסקונט כ.ה.נדחה 4.1% 07/2- מרכנתיל דיסקונט,7290497,,8017,בנקים,AA-,מעלות,22/02/11,7.34,שקל חדש,4.10,0.98,"2,000,000.00",129.58,"2,591.60",0.00,2.01,0.06,,
,מרכנתיל דסקונט כ.ה. 09/22 3.8%- מרכנתיל דיסקונט,7299522,,8017,בנקים,AA-,מעלות,25/01/12,5.85,שקל חדש,3.80,0.92,"1,100,000.00",121.72,"1,338.92",0.00,1.04,0.03,,
,נתיבי גז א- נתיבי גז,1103084,,8123,אחר,AA-,פנימי,02/01/07,5.64,שקל חדש,5.60,1.14,"1,402,371.10",152.71,"2,141.56",0.20,1.66,0.05,,
,נתיבי גז ג- נתיבי גז,1125509,,8123,אחר,AA-,פנימי,02/01/12,8.89,שקל חדש,4.80,1.89,"1,202,000.00",131.35,"1,578.83",0.00,1.23,0.04,,
,פז אשדוד מדד 43- פז בית זיקוק אשדוד,1099159,,8006,השקעות ואחזקות,AA-,מעלות,04/10/06,1.58,שקל חדש,6.10,0.64,"1,395,352.98",133.65,"1,864.89",0.00,1.45,0.04,,
,מ.מבטחים ה.מ.מורכב ב  4.65% 2021/24- מנורה מבטחים בטוח,1124759,,8319,ביטוח,A1,מידרוג,06/10/11,4.98,שקל חדש,4.65,0.79,"1,500,000.00",124.47,"1,867.05",0.00,1.45,0.04,,
,מקורות 8 4.1% 2048- מקורות,1124346,,1150,אחר,A+,פנימי,14/07/11,12.47,שקל חדש,4.10,1.98,"5,200,000.00",133.15,"6,923.80",0.00,5.37,0.16,,
,מקורות אגח  5- מקורות,1095538,,1150,אחר,A+,פנימי,28/12/05,1.71,שקל חדש,4.90,0.49,"4,800,000.00",128.82,"6,183.36",0.67,4.80,0.14,,
,מקורות סדרה ו- מקורות,1100908,,1150,אחר,A+,פנימי,07/03/12,10.34,שקל חדש,4.90,1.41,"580,000.00",167.51,971.56,0.04,0.75,0.02,,
,פועלים הון ראשוני ג- בנק הפועלים,6620280,,662,בנקים,A+,מעלות,22/11/07,5.65,שקל חדש,5.75,0.93,"2,000,000.00",152.77,"3,055.40",0.15,2.37,0.07,,
,דרך ארץ מזנין 2- דרך ארץ,6270,,8019,אחר,A2,מידרוג,16/03/11,5.90,שקל חדש,7.15,1.58,"1,521,621.23",142.57,"2,169.38",0.00,1.68,0.05,,
,יצחקי מחסנים א 10/16 6.5%- יצחקי,1109198,,8301,"נדל""ן ובינוי",A2,מידרוג,23/01/08,0.64,שקל חדש,6.50,0.64,"135,000.03",122.50,165.38,0.05,0.13,0.00,,
,חשמל 2022- חברת החשמל,6000129,,600,שירותים,A-,פנימי,18/01/11,4.81,שקל חדש,6.00,3.16,"2,547,000.00",119.86,"3,052.83",0.00,2.37,0.07,,
,חשמל יא- חברת החשמל,6000038,,600,שירותים,A-,פנימי,29/11/11,0.38,שקל חדש,6.50,0.47,"1,870,000.00",127.00,"2,374.90",0.15,1.84,0.06,,
,קבוצת דלק יב- קבוצת דלק,1099639,,1095,השקעות ואחזקות,BBB+,פנימי,07/11/06,1.02,שקל חדש,5.35,0.83,"1,621,334.14",126.00,"2,042.88",0.27,1.59,0.05,,
,"סה""כ צמוד מדד",,,,,,,,4.17,,,0.97,"49,081,690.61",,"78,090.35",,60.61,1.81,,
,לא צמוד,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמוד",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,,,,
,A1 צים אגח- צים,6510044,,651,שירותים,0,לא מדורג,20/07/14,6.40,דולר אמריקאי,3.00,7.02,"219,828.00",78.25,647.81,0.06,0.50,0.02,,
,צים אגח ד- צים,6510069,,651,שירותים,0,לא מדורג,20/07/14,3.05,דולר אמריקאי,3.44,2.93,"63,544.91",101.65,243.26,0.13,0.19,0.01,,
,"סה""כ צמודות למט""ח",,,,,,,,5.48,,,5.90,"283,372.91",,891.07,,0.69,0.02,,
,אחר,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,,,4.19,,,1.03,"49,365,063.52",,"78,981.42",,61.30,1.83,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח קונצרני של חברות ישראליות",,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אג""ח קונצרני של חברות ישראליות",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"אג""ח קונצרני של חברות זרות",,,,,,,,,,,,,,,,,,,
,"ש""ח HSBC 6.14% 26.3.27- HSBC Bank",XS0762108453,בלומברג,8199,בנקים,AA-,S P,26/03/12,8.63,שקל חדש,6.14,3.30,"1,600,000.00",125.91,"2,014.63",0.00,1.56,0.05,,
,Credit Suisse Global FI- Credit Suisse,KYG445041018,בלומברג,8185,"אג""ח מובנות",A,S P,01/02/11,5.03,דולר אמריקאי,0.00,2.68,"17,604.00","11,890.00","7,882.67",0.00,6.12,0.18,,
,ING BANK NV CLN FLOAT 4/21- ING BANK NV,XS0598374519,בלומברג,8452,בנקים,A2,Moodys,24/02/11,4.58,דולר אמריקאי,3.33,2.71,"1,000,000.00",105.48,"3,972.38",0.00,3.08,0.09,,
,ING CLN L+3.8% 01/22- ING BANK NV,XS0686564781,בלומברג,8452,בנקים,A,S P,09/11/11,5.10,דולר אמריקאי,4.13,2.89,"737,000.00",109.60,"3,042.08",1.47,2.36,0.07,,
,LLOYDS F CLN 21/6/21- LLOYDS TSB PLC,XS0632909635,בלומברג,8456,בנקים,A,S P,01/06/11,4.81,דולר אמריקאי,3.45,2.42,"1,125,000.00",105.46,"4,468.08",0.00,3.47,0.10,,
,UBS CLN L+3.30% 5/7/22- UBS  AG JERSEY BRANCH,XS0769417931,בלומברג,9077,בנקים,A,S P,28/03/12,5.55,דולר אמריקאי,3.62,3.38,"700,000.00",104.15,"2,745.70",0.00,2.13,0.06,,
,BARC CLN 6.45 6/22/2020- BARCLAYS,XS0511401761,בלומברג,8223,בנקים,A-,S P,25/05/10,3.72,שקל חדש,6.45,1.36,"5,000,000.00",125.79,"6,289.50",2.63,4.88,0.15,,
,BARC CLN L+3.65% 20/06/22- BARCLAYS,XS0614629029,בלומברג,8223,בנקים,A-,S P,15/05/12,5.53,דולר אמריקאי,4.22,2.59,"700,000.00",109.95,"2,898.50",0.00,2.25,0.07,,
,phoenix  08/15/19- PHOENIX - credit suisse,XS0813493391,בלומברג,9010,בנקים,Baa1,Moodys,07/08/12,3.15,דולר אמריקאי,4.44,2.41,"500,000.00",107.16,"2,017.82",0.00,1.57,0.05,,
,Ormat Technologies Inc- ORMAT TECHNOLOGIES INC,60289956,בלומברג,8477,מסחר,0,לא מדורג,04/08/10,1.29,דולר אמריקאי,7.00,2.35,"1,400,000.00",107.21,"5,652.50",0.00,4.39,0.13,,
,PIMCO LUX TR USD- PIMCO,LU0683769987,בלומברג,9005,"אג""ח מובנות",0,לא מדורג,29/09/11,5.91,דולר אמריקאי,0.00,3.57,"196,163.99","1,202.00","8,879.82",0.00,6.89,0.21,,
,"סה""כ אג""ח קונצרני של חברות זרות",,,,,,,,4.67,,,2.67,"12,975,767.99",,"49,863.67",,38.70,1.16,,
,"סה""כ בחו""ל",,,,,,,,4.67,,,2.67,"12,975,767.99",,"49,863.67",,38.70,1.16,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
