,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,2. תעודות חוב מסחריות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,
,"סה""כ תעודות חוב מסחריות",,,,,,,,,,,,0.00,,0.00,,0.00,0.00,,
,בישראל,,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמוד מדד",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,לא צמוד,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמוד",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות למט""ח",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,תעודות חוב מסחריות של חברות ישראליות,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות חוב מסחריות של חברות ישראליות",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,תעודות חוב מסחריות של חברות זרות,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות חוב מסחריות של חברות זרות",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
