,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,
,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,"סה""כ מניות",,,,,,,"9,537,840.52",,"101,584.40",,100.00,2.36
,בישראל,,,,,,,,,,,,
,תל אביב 25,,,,,,,,,,,,
,בינלאומי  5- בינלאומי,593038,TASE,,593,בנקים,שקל חדש,"32,994.00","4,657.00","1,536.53",0.03,1.51,0.04
,פועלים- בנק הפועלים,662577,TASE,,662,בנקים,שקל חדש,"452,062.18","1,950.00","8,815.21",0.03,8.68,0.20
,מזרחי טפחות- בנק מזרחי טפחות,695437,TASE,,668,בנקים,שקל חדש,"42,773.00","4,407.00","1,885.01",0.02,1.86,0.04
,דיסקונט א- דיסקונט,691212,TASE,,691,בנקים,שקל חדש,"319,723.49",636.00,"2,033.44",0.03,2.00,0.05
,לאומי- לאומי,604611,TASE,,604,בנקים,שקל חדש,"535,074.21","1,349.00","7,218.15",0.04,7.11,0.17
,"אורמת טכנולוגיות בע""מ- ORMAT TECHNOLOGIES LTD",1134402,TASE,,2250,השקעות בהיי-טק,שקל חדש,"3,325.00","15,480.00",514.71,0.01,0.51,0.01
,אלביט מערכות- אלביט מערכות,1081124,TASE,,1040,השקעות בהיי-טק,שקל חדש,"8,879.00","35,370.00","3,140.50",0.02,3.09,0.07
,נייס- נייס,273011,TASE,,273,השקעות בהיי-טק,שקל חדש,"23,285.00","24,650.00","5,739.75",0.04,5.65,0.13
,חברה לישראל- החברה לישראל,576017,TASE,,576,השקעות ואחזקות,שקל חדש,"2,309.49","63,140.00","1,458.21",0.03,1.44,0.03
,פז נפט- פז חברת נפט,1100007,TASE,,8120,השקעות ואחזקות,שקל חדש,"2,967.00","59,690.00","1,771.00",0.03,1.74,0.04
,קבוצת דלק- קבוצת דלק,1084128,TASE,,1095,השקעות ואחזקות,שקל חדש,"1,416.00","64,440.00",912.47,0.01,0.90,0.02
,אבנר יהש- אבנר יהש,268011,TASE,,268,חיפושי נפט וגז,שקל חדש,"565,108.00",214.20,"1,210.46",0.02,1.19,0.03
,דלק קידוחים יהש- דלק קידוחים,475020,TASE,,8306,חיפושי נפט וגז,שקל חדש,"89,488.00","1,105.00",988.84,0.02,0.97,0.02
,ישראמקו- ישראמקו,232017,TASE,,232,חיפושי נפט וגז,שקל חדש,"4,975,677.00",64.40,"3,204.34",0.04,3.15,0.07
,אופקו- אופקו,1129543,TASE,,9052,מכשור רפואי,שקל חדש,"72,927.00","3,785.00","2,760.29",0.01,2.72,0.06
,מיילן- MYLAN NV,1136704,TASE,,9135,מסחר,שקל חדש,"1,051.00","17,270.00",181.51,0.00,0.18,0.00
,פריגו,1130699,TASE,,1233,מסחר,שקל חדש,"19,973.00","48,520.00","9,690.90",0.01,9.54,0.23
,אסם- אסם,304014,TASE,,304,מסחר,שקל חדש,"8,371.00","8,213.00",687.51,0.01,0.68,0.02
,טבע- טבע,629014,TASE,,629,מסחר,שקל חדש,"59,184.00","20,270.00","11,996.60",0.01,11.81,0.28
,כיל- כיל,281014,TASE,,281,מסחר,שקל חדש,"215,708.00","1,635.00","3,526.83",0.02,3.47,0.08
,פרוטרום- פרוטרום,1081082,TASE,,1037,מסחר,שקל חדש,"13,088.00","19,700.00","2,578.34",0.02,2.54,0.06
,שטראוס-עלית- שטראוס עלית,746016,TASE,,746,מסחר,שקל חדש,"14,963.00","5,633.00",842.87,0.01,0.83,0.02
,גזית גלוב- גזית גלוב,126011,TASE,,126,"נדל""ן ובינוי",שקל חדש,"61,254.35","3,429.00","2,100.41",0.03,2.07,0.05
,מליסרון- מליסרון,323014,TASE,,323,"נדל""ן ובינוי",שקל חדש,"5,230.00","13,530.00",707.62,0.01,0.70,0.02
,"עזריאלי קבוצה- קבוצת עזריאלי בע""מ",1119478,TASE,,8434,"נדל""ן ובינוי",שקל חדש,"8,686.00","14,750.00","1,281.19",0.01,1.26,0.03
,בזק- בזק,230011,TASE,,230,שירותים,שקל חדש,"915,856.50",847.50,"7,761.88",0.03,7.64,0.18
,"סה""כ תל אביב 25",,,,,,,"8,451,373.22",,"84,544.56",,83.23,1.96
,תל אביב 75,,,,,,,,,,,,
,"פוקס ויזל מ""ר- פוקס",1087022,TASE,,1140,אופנה והלבשה,שקל חדש,"1,524.00","5,651.00",86.12,0.01,0.08,0.00
,איידיאיי ביטוח- איי.די.איי חברה לביטוח,1129501,TASE,,1608,ביטוח,שקל חדש,715.00,"19,200.00",137.28,0.00,0.14,0.00
,הראל השקעות- הראל השקעות,585018,TASE,,9067,ביטוח,שקל חדש,"35,859.00","1,435.00",514.58,0.02,0.51,0.01
,כלל עסקי ביטוח- כלל חברה לביטוח,224014,TASE,,224,ביטוח,שקל חדש,"4,801.00","4,320.00",207.40,0.01,0.20,0.00
,מגדל ביטוח- מגדל ביטוח,1081165,TASE,,1041,ביטוח,שקל חדש,"84,120.00",261.00,219.55,0.01,0.22,0.01
,אגוד- אגוד,722314,TASE,,722,בנקים,שקל חדש,459.00,"1,368.00",6.28,0.00,0.01,0.00
,פ.י.ב.י מר- פיבי,763011,TASE,,763,בנקים,שקל חדש,"3,902.36","5,273.00",205.77,0.01,0.20,0.00
,טאואר- טאואר,1082379,TASE,,9105,השקעות בהיי-טק,שקל חדש,"12,379.76","4,632.00",573.43,0.01,0.56,0.01
,מטריקס- מטריקס,445015,TASE,,445,השקעות בהיי-טק,שקל חדש,"8,033.00","2,405.00",193.19,0.01,0.19,0.00
,אלקטרה- אלקטרה,739037,TASE,,739,השקעות ואחזקות,שקל חדש,428.00,"51,290.00",219.52,0.01,0.22,0.01
,מבטח שמיר- מבטח שמיר,127019,TASE,,127,השקעות ואחזקות,שקל חדש,978.00,"7,408.00",72.45,0.01,0.07,0.00
,קנון- קנון,1134139,TASE,,9103,השקעות ואחזקות,שקל חדש,"5,741.43","2,977.00",170.92,0.01,0.17,0.00
,רציו יהש- רציו חיפושי נפט,394015,TASE,,394,חיפושי נפט וגז,שקל חדש,"613,227.00",23.00,141.04,0.01,0.14,0.00
,קומפיוגן- קומפיוגן,1085208,TASE,,2188,מכשור רפואי,שקל חדש,"4,125.00","2,121.00",87.49,0.01,0.09,0.00
,בזן- בזן בתי זיקוק לנפט,2590248,TASE,,259,מסחר,שקל חדש,"32,382.00",144.00,46.63,0.00,0.05,0.00
,דלתא- דלתא גליל,627034,TASE,,627,מסחר,שקל חדש,428.00,"10,190.00",43.61,0.00,0.04,0.00
,ארפורט סיטי- איירפורט סיטי,1095835,TASE,,1300,"נדל""ן ובינוי",שקל חדש,"5,865.75","3,676.00",215.62,0.01,0.21,0.01
,ביג- ביג מרכזי קניות,1097260,TASE,,1327,"נדל""ן ובינוי",שקל חדש,335.00,"21,250.00",71.19,0.00,0.07,0.00
,גב ים  1- גב ים,759019,TASE,,759,"נדל""ן ובינוי",שקל חדש,6.00,"129,700.00",7.78,0.00,0.01,0.00
,נורסטאר החזקות אינק- נורסטאר החזקות אינכ,723007,TASE,,723,"נדל""ן ובינוי",שקל חדש,"3,176.00","5,328.00",169.22,0.01,0.17,0.00
,שיכון ובינוי- שיכון ובינוי,1081942,TASE,,1068,"נדל""ן ובינוי",שקל חדש,"65,749.00",667.00,438.55,0.02,0.43,0.01
,"שפיר הנדסה ותעשיה בע""מ",1133875,TASE,,9100,"נדל""ן ובינוי",שקל חדש,"8,889.00",601.80,53.49,0.00,0.05,0.00
,דלק רכב- דלק רכב,829010,TASE,,829,שירותים,שקל חדש,"4,889.00","3,634.00",177.67,0.01,0.17,0.00
,פרטנר- פרטנר,1083484,TASE,,2095,שירותים,שקל חדש,"11,056.00","1,765.00",195.14,0.01,0.19,0.00
,רמי לוי- רמי לוי שיווק השקמה,1104249,TASE,,8264,שירותים,שקל חדש,643.00,"14,590.00",93.81,0.00,0.09,0.00
,שופרסל- שופרסל,777037,TASE,,777,שירותים,שקל חדש,"32,176.00","1,262.00",406.06,0.02,0.40,0.01
,דש איפקס- דש איפקס,1081843,TASE,,1064,שירותים פיננסיים,שקל חדש,"9,878.00","1,089.00",107.57,0.01,0.11,0.00
,"סה""כ תל אביב 75",,,,,,,"951,765.30",,"4,861.38",,4.79,0.11
,מניות היתר,,,,,,,,,,,,
,נייר חדרה- נייר חדרה,632018,TASE,,632,מסחר,שקל חדש,"1,346.00","10,620.00",142.95,0.02,0.14,0.00
,מגדלי תיכון מר- מגדלי הים התיכון,1131523,TASE,,9061,"נדל""ן ובינוי",שקל חדש,"1,601.00",458.00,7.33,0.00,0.01,0.00
,אשטרום- קבוצת אשטרום,1132315,TASE,,1618,"נדל""ן ובינוי",שקל חדש,"27,033.00",871.30,235.54,0.03,0.23,0.01
,"אלקטרה מ.צריכה (1970) מר- אלקטרה מוצרי צריכה בע""מ",5010129,TASE,,8475,שירותים,שקל חדש,756.00,"3,100.00",23.44,0.00,0.02,0.00
,סקופ- סקופ,288019,TASE,,288,שירותים,שקל חדש,"6,260.00","4,400.00",275.44,0.06,0.27,0.01
,"סה""כ מניות היתר",,,,,,,"36,996.00",,684.69,,0.67,0.02
,call 001 אופציות,,,,,,,,,,,,
,0,0,,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,"סה""כ call 001 אופציות",,,,,,,0.00,,0.00,,0.00,0.00
,"סה""כ בישראל",,,,,,,"9,440,134.52",,"90,090.63",,88.69,2.09
,"בחו""ל",,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,
,NVMI US- נובה מכשירי מדידה,IL0010845571,NASDAQ,בלומברג,2177,חשמל,דולר אמריקאי,977.00,"1,041.00",38.30,0.00,0.04,0.00
,MAZOR ROBOTICS LTD-SPON ADR- מזור רובוטיקה,US57886P1030,NASDAQ,בלומברג,1487,מכשור רפואי,דולר אמריקאי,283.00,"1,244.00",13.26,0.00,0.01,0.00
,CGEN US- קומפיוגן,IL0010852080,NASDAQ,בלומברג,2188,מכשור רפואי,דולר אמריקאי,"3,457.00",558.00,72.65,0.01,0.07,0.00
,EVGN US- אבוג'ן,IL0011050551,NASDAQ,בלומברג,1461,מסחר,דולר אמריקאי,905.00,651.00,22.19,0.00,0.02,0.00
,Opko Health Inc- אופקו,US68375N1037,NYSE,בלומברג,9052,מסחר,דולר אמריקאי,"42,592.00","1,039.00","1,666.57",0.01,1.64,0.04
,Teva US- טבע,US8816242098,NYSE,בלומברג,629,מסחר,דולר אמריקאי,"1,842.00","5,351.00",371.20,0.00,0.37,0.01
,CHECK POINT- Check point software,IL0010824113,NASDAQ,בלומברג,9112,תוכנה ואינטרנט,דולר אמריקאי,"1,644.00","8,747.00",541.55,0.00,0.53,0.01
,Allot Communication US- אלוט תקשורת,IL0010996549,NASDAQ,בלומברג,2252,תוכנה ואינטרנט,דולר אמריקאי,226.00,523.00,4.45,0.00,0.00,0.00
,"סה""כ חברות ישראליות בחו""ל",,,,,,,"51,926.00",,"2,730.17",,2.69,0.06
,"חברות זרות בחו""ל",,,,,,,,,,,,
,MYL US- MYLAN NV,NL0011031208,NASDAQ,בלומברג,9135,מסחר,דולר אמריקאי,"22,987.00","4,635.00","4,012.48",0.00,3.95,0.09
,ORA US- ORMAT TECHNOLOGIES LTD,US6866881021,NYSE,בלומברג,2250,מסחר,דולר אמריקאי,"14,138.00","4,124.00","2,195.77",0.03,2.16,0.05
,Perrigo Co PLC US- PERRIGO,IE00BGH1M568,NASDAQ,בלומברג,1233,מסחר,דולר אמריקאי,"3,502.00","12,793.00","1,687.21",0.00,1.66,0.04
,AMDOCS- AMDOCS,GB0022569080,NASDAQ,בלומברג,9113,תוכנה ואינטרנט,דולר אמריקאי,"2,164.00","6,042.00",492.40,0.00,0.48,0.01
,VERINT US- VERINT,US92343X1000,NASDAQ,בלומברג,9116,תוכנה ואינטרנט,דולר אמריקאי,"2,989.00","3,338.00",375.74,0.00,0.37,0.01
,"סה""כ חברות זרות בחו""ל",,,,,,,"45,780.00",,"8,763.60",,8.63,0.20
,"סה""כ בחו""ל",,,,,,,"97,706.00",,"11,493.77",,11.31,0.27
,בעל ענין/צד קשור *,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
