,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,,10.63,,,0.84,"141,947,045.00",,"232,289.84",,100.00,5.40,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות למדד,,,,,,,,,,,,,,,,,,,,
,גליל,,,,,,,,,,,,,,,,,,,,
,ממשלתי  צמוד 0841- ממשלת ישראל,1120583,TASE,RF,מעלות,30/11/10,19.52,שקל חדש,2.75,1.09,"24,943,088.00",145.56,"36,307.16",0.15,15.63,0.84,,,,,
,ממשלתי צמוד 0517- ממשלת ישראל,1125905,TASE,RF,מעלות,13/01/16,1.15,שקל חדש,1.00,-0.31,"278,916.00",103.82,289.57,0.00,0.12,0.01,,,,,
,ממשלתי צמוד 0536- ממשלת ישראל,1097708,TASE,RF,מעלות,27/06/06,15.20,שקל חדש,4.01,0.94,"50,024,985.00",186.16,"93,126.51",0.31,40.09,2.16,,,,,
,ממשלתי צמוד 0545- ממשלת ישראל,1134865,TASE,RF,מעלות,09/07/15,25.14,שקל חדש,1.00,1.16,"4,101,076.00",95.89,"3,932.52",0.09,1.69,0.09,,,,,
,ממשלתי צמודה 1016- ממשלת ישראל,1130483,TASE,RF,מעלות,19/11/15,0.58,שקל חדש,0.10,-0.68,"4,959,365.00",98.50,"4,884.97",0.05,2.10,0.11,,,,,
,"סה""כ גליל",,,,,,16.07,,,0.93,"84,307,430.00",,"138,540.74",,59.64,3.22,,,,,
,"סה""כ צמודות למדד",,,,,,16.07,,,0.93,"84,307,430.00",,"138,540.74",,59.64,3.22,,,,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,מלווה קצר מועד,,,,,,,,,,,,,,,,,,,,
,מקמ 0716- ממשלת ישראל,8160715,TASE,RF,מעלות,08/07/15,0.26,שקל חדש,0.00,0.08,"4,293,229.00",99.98,"4,292.37",0.05,1.85,0.10,,,,,
,מקמ 117,8170110,TASE,RF,מעלות,06/01/16,0.76,שקל חדש,0.00,0.11,"4,054,825.00",99.92,"4,051.58",0.05,1.74,0.09,,,,,
,מקמ 1216- ממשלת ישראל,8161218,TASE,RF,מעלות,02/12/15,0.68,שקל חדש,0.00,0.09,"14,772,964.00",99.94,"14,764.10",0.16,6.36,0.34,,,,,
,מקמ 516- ממשלת ישראל,8160517,TASE,RF,מעלות,06/05/15,0.09,שקל חדש,0.00,0.22,"1,138,818.00",99.98,"1,138.59",0.01,0.49,0.03,,,,,
,מקמ 816- ממשלת ישראל,8160814,TASE,RF,מעלות,05/08/15,0.34,שקל חדש,0.00,0.09,"7,517,999.00",99.97,"7,515.74",0.08,3.24,0.17,,,,,
,"סה""כ מלווה קצר מועד",,,,,,0.53,,,0.10,"31,777,835.00",,"31,762.39",,13.67,0.74,,,,,
,שחר,,,,,,,,,,,,,,,,,,,,
,ממשלתי שקלי 0217- ממשלת ישראל,1101575,TASE,RF,מעלות,12/05/08,0.91,שקל חדש,5.53,0.10,"4,278,673.00",105.40,"4,509.72",0.02,1.94,0.10,,,,,
,ממשלתי שקלי 0516- ממשלת ישראל,1127166,TASE,RF,מעלות,01/07/15,0.16,שקל חדש,2.50,0.10,"934,453.00",102.49,957.72,0.01,0.41,0.02,,,,,
,ממשלתי שקלי 0816- ממשלת ישראל,1122019,TASE,RF,מעלות,06/09/11,0.42,שקל חדש,4.25,0.12,"11,460,654.00",104.21,"11,943.15",0.07,5.14,0.28,,,,,
,"סה""כ שחר",,,,,,0.53,,,0.11,"16,673,780.00",,"17,410.59",,7.50,0.40,,,,,
,גילון,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ גילון",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ לא צמודות",,,,,,0.53,,,0.10,"48,451,615.00",,"49,172.98",,21.17,1.14,,,,,
,צמודות לדולר,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודות לדולר",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,,12.00,,,0.71,"132,759,045.00",,"187,713.71",,80.81,4.36,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,,
,ISRAEL 4% 30.06.22- ממשלת ישראל,US46513AGA25,אחר,A+,S P,09/02/12,5.82,דולר אמריקאי,4.00,2.73,"1,338,000.00",110.69,"5,577.77",0.09,2.40,0.13,,,,,
,ISRAEL 4.625 03/20- ממשלת ישראל,XS0495946070,אחר,A+,S P,20/06/11,3.83,אירו,4.63,0.58,"5,860,000.00",116.69,"29,306.01",0.39,12.62,0.68,,,,,
,ISRAEL 5 1/8 03/19- ממשלת ישראל,US46513E5Y48,אחר,A+,S P,20/06/11,3.00,דולר אמריקאי,5.13,1.76,"750,000.00",110.39,"3,118.11",0.00,1.34,0.07,,,,,
,ISRAEL 6 7/8 10/34- ממשלת ישראל,XS0103500855,אחר,A+,S P,20/06/11,12.22,לירה שטרלינג,6.88,3.83,"40,000.00",143.65,311.82,0.00,0.13,0.01,,,,,
,ISRAEL 7 1/4 12/28- ממשלת ישראל,US465138ZR91,אחר,A+,S P,20/06/11,9.30,דולר אמריקאי,7.25,3.63,"1,200,000.00",138.57,"6,262.42",0.48,2.70,0.15,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,4.85,,,1.38,"9,188,000.00",,"44,576.13",,19.19,1.04,,,,,
,"אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,4.85,,,1.38,"9,188,000.00",,"44,576.13",,19.19,1.04,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
