,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,3.17,,,1.93,"323,586,129.33",,"490,758.11",,100.00,0.70,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,,,,,
,לאומי מימון 176- לאומי,6040208,TASE,,604,בנקים,AAA,מעלות,31/12/04,0.33,שקל חדש,5.05,-1.00,"2,119,691.50",135.67,"2,875.79",0.87,0.59,0.00,,
,מזרחי טפחות הנפ. 33- בנק מזרחי טפחות,2310092,TASE,,668,בנקים,AAA,מעלות,30/04/15,0.03,שקל חדש,2.60,1.71,"64,831,580.00",105.73,"68,546.43",2.80,13.97,0.10,,
,מזרחי טפחות הנפקות  36- בנק מזרחי טפחות,2310126,TASE,,668,בנקים,AAA,מעלות,21/08/15,1.42,שקל חדש,0.00,-0.63,"52,082,617.00",99.09,"51,608.67",2.83,10.52,0.07,,
,טפחות הנפ התח27- בנק מזרחי טפחות,2310035,TASE,,668,בנקים,AA+,מעלות,31/12/04,0.67,שקל חדש,5.50,-0.45,"332,405.00",134.88,448.35,0.17,0.09,0.00,,
,לאומי כ. התחייבות ג- לאומי,6040182,TASE,,604,בנקים,AA+,מעלות,31/12/04,0.25,שקל חדש,4.90,-0.57,"615,886.00",135.62,835.26,0.12,0.17,0.00,,
,לאומי כ.התחייבות סדרה ח- לאומי,6040232,TASE,,604,בנקים,AA+,מעלות,06/11/07,1.09,שקל חדש,4.40,0.27,"31,212,822.33",123.29,"38,482.29",2.43,7.84,0.06,,
,לאומי מימון כ.התחייבות יב- לאומי,6040273,TASE,,604,בנקים,AA+,מעלות,11/09/11,1.42,שקל חדש,2.60,0.19,"2,261,484.00",110.35,"2,495.55",0.07,0.51,0.00,,
,מזרחי טפח.כ.התחייבות 30- בנק מזרחי טפחות,2310068,TASE,,668,בנקים,AA+,מעלות,08/08/07,1.12,שקל חדש,3.90,0.35,"8,811,310.00",127.07,"11,196.53",0.61,2.28,0.02,,
,פועלים כ.ה.נדחה ד- בנק הפועלים,1940105,TASE,,662,בנקים,AA+,מעלות,31/12/04,0.22,שקל חדש,5.19,-0.76,"519,383.00",136.57,709.32,0.17,0.14,0.00,,
,פועלים כ.התחייבות ט- בנק הפועלים,1940386,TASE,,662,בנקים,AA+,מעלות,28/12/05,1.21,שקל חדש,4.70,0.23,"1,636,164.71",126.29,"2,066.31",0.57,0.42,0.00,,
,"פועלים כ.התחייבות י""ב- בנק הפועלים",1940428,TASE,,662,בנקים,AA+,מעלות,14/05/15,0.17,שקל חדש,5.00,-1.51,"1,663,957.86",115.39,"1,920.04",0.81,0.39,0.00,,
,בינלאומי כתב התחיבות ה- בינלאומי,1105576,TASE,,593,בנקים,AA,מעלות,10/06/07,0.69,שקל חדש,3.85,0.22,"619,699.00",122.89,761.55,0.08,0.16,0.00,,
,בינלאומי כתב התחיבות ו- בינלאומי,1110279,TASE,,593,בנקים,Aa3,מידרוג,26/10/15,1.01,שקל חדש,4.30,0.41,"75,404.61",119.43,90.06,0.11,0.02,0.00,,
,גב ים ו- גב ים,7590128,TASE,,759,"נדל""ן ובינוי",AA-,מעלות,25/08/15,6.52,שקל חדש,4.75,1.96,"71,994.00",142.24,102.40,0.01,0.02,0.00,,
,דסקונט כ.התחייבות ח- דיסקונט,7480072,TASE,,691,בנקים,AA-,מעלות,16/09/08,0.94,שקל חדש,4.29,0.05,"3,487,497.65",119.62,"4,171.74",1.23,0.85,0.01,,
,הראל ו - הראל חברה לביטוח,1126069,TASE,,1175,ביטוח,AA-,מעלות,18/05/12,6.33,שקל חדש,3.85,1.58,"2,108,000.00",118.29,"2,493.55",0.88,0.51,0.00,,
,כ.ביטוח ט ה.משני- כלל חברה לביטוח,1136050,TASE,,224,ביטוח,Aa3,מידרוג,29/07/15,8.38,שקל חדש,2.48,2.11,"859,854.00",103.58,890.64,0.33,0.18,0.00,,
,איגוד כ.התחייבות ב- אגוד,1101005,TASE,,722,בנקים,A1,מידרוג,30/12/07,0.80,שקל חדש,4.30,0.34,"1,601,662.32",123.42,"1,976.77",1.56,0.40,0.00,,
,גזית גלוב ד- גזית גלוב,1260397,TASE,,126,"נדל""ן ובינוי",A,פנימי,21/09/06,3.82,שקל חדש,5.10,1.92,"1,280,876.00",131.06,"1,678.72",0.06,0.34,0.00,,
,אשדר חברה לבנין סדרה א- אשדר,1104330,TASE,,8240,"נדל""ן ובינוי",A3,מידרוג,03/06/07,2.07,שקל חדש,4.85,1.43,"80,720.67",129.47,104.51,0.02,0.02,0.00,,
,דיסקונט הון ראשוני מורכב 1- דיסקונט,6910095,TASE,,691,בנקים,A-,מעלות,17/06/07,5.10,שקל חדש,5.10,1.79,"19,038,128.00",140.11,"26,674.32",1.66,5.44,0.04,,
,חשמל 25- חברת החשמל,6000160,TASE,,600,שירותים,A-,פנימי,17/12/15,1.26,שקל חדש,1.20,-0.20,"49,044,777.00",102.83,"50,432.74",4.90,10.28,0.07,,
,חשמל אגח 27- חברת החשמל,6000210,TASE,,600,שירותים,A-,פנימי,24/06/15,9.54,שקל חדש,3.85,2.66,"17,138,588.00",111.73,"19,148.94",1.48,3.90,0.03,,
,"סה""כ צמודות מדד",,,,,,,,,1.92,,,0.66,"261,494,502.65",,"289,710.48",,59.03,0.41,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,פועלים הנפקות 26- בנק הפועלים,1940451,TASE,,662,בנקים,AAA,מעלות,24/09/15,0.66,שקל חדש,0.84,0.34,"3,290,186.00",100.37,"3,302.36",0.41,0.67,0.00,,
,לאומי הון משני תחתון יג- לאומי,6040281,TASE,,604,בנקים,AA+,מעלות,16/09/10,1.39,שקל חדש,5.40,0.78,"6,369,723.00",109.60,"6,981.22",0.29,1.42,0.01,,
