,תאריך הדיווח,31/03/2016,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,
,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,
,8. חוזים עתידיים,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),
,"סה""כ חוזים עתידיים ",,,,,"1,406,680,963.49",,"112,237.65",100.00,0.20,
,בישראל,,,,,,,,,,
,מדדים כולל מניות,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,
,"סה""כ מדדים כולל מניות",,,,,0.00,,0.00,0.00,0.00,
,"ש""ח/מט""ח",,,,,,,,,,
,5.88%$/5.4264% 11.19 HAPI- בנק הפועלים,31001502,בנקים,דולר אמריקאי,01/11/15,"-12,500,000.00",119.14,"-56,085.59",-49.97,-0.10,
,5.88%/5.4264% 11.19 HAPI- בנק הפועלים,31001501,בנקים,שקל חדש,01/11/15,"47,150,000.00",124.93,"58,904.24",52.48,0.10,
,FW POALIM 01.04.16 3.7667 $/NIS- בנק הפועלים,76005524,בנקים,דולר אמריקאי,31/03/16,"7,500,000.00",-0.08,-5.78,-0.01,0.00,
,FW POALIM 01.09.16 3.751 $/NIS- בנק הפועלים,76005532,בנקים,דולר אמריקאי,31/03/16,"-7,500,000.00",0.34,-25.28,-0.02,0.00,
,FW Poalim 25.04.2016 5.61 GBP/NIS- בנק הפועלים,76005244,בנקים,לירה שטרלינג,20/01/16,"-1,240,000.00",-18.47,229.03,0.20,0.00,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002301,בנקים,שקל חדש,01/11/15,"18,166,200.00",124.63,"22,641.01",20.17,0.04,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002302,בנקים,אירו,01/11/15,"-3,900,000.00",122.66,"-20,501.60",-18.27,-0.04,
,HAPI  ISR 03.20 4.625%/5.58- בנק הפועלים,31001001,בנקים,שקל חדש,01/11/15,"18,562,075.00",123.54,"22,931.87",20.43,0.04,
,HAPI  ISR 03.20 4.625%/5.58- בנק הפועלים,31001002,בנקים,אירו,01/11/15,"-3,650,000.00",122.66,"-19,187.39",-17.10,-0.03,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001401,בנקים,שקל חדש,01/11/15,"17,372,670.00",124.88,"21,694.13",19.33,0.04,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001402,בנקים,אירו,01/11/15,"-3,500,000.00",122.66,"-18,398.87",-16.39,-0.03,
,HAPI GAZIT 2022 5.52%/7.1750%- בנק הפועלים,31007001,בנקים,שקל חדש,01/11/15,"39,140,000.00",135.77,"53,138.84",47.34,0.09,
,HAPI GAZIT 2022 5.52%/7.1750%$- בנק הפועלים,31007002,בנקים,דולר אמריקאי,01/11/15,"-10,000,000.00",122.34,"-46,073.26",-41.05,-0.08,
,HAPI PHONIX 2019 L+4.075%/6.675%- בנק הפועלים,31005401,בנקים,שקל חדש,01/11/15,"38,055,000.00",123.68,"47,065.59",41.93,0.08,
,HAPI PHONIX 2019 L+4.075%/6.675%$- בנק הפועלים,31005402,בנקים,דולר אמריקאי,01/11/15,"-10,000,000.00",114.04,"-42,947.86",-38.27,-0.08,
,פועלים CSA- בנק הפועלים,1000532,בנקים,שקל חדש,06/05/15,"-260,000.00",100.00,-260.00,-0.23,0.00,
,FW MIZI 13.6.16 3.9160 $/NIS- בנק מזרחי טפחות,76005212,בנקים,דולר אמריקאי,11/01/16,"-12,500,000.00",-15.33,"1,916.14",1.71,0.00,
,FW MIZI 18.05.16 3.901 $/NIS- בנק מזרחי טפחות,76005348,בנקים,דולר אמריקאי,16/02/16,"-15,800,000.00",-13.72,"2,167.01",1.93,0.00,
,FW MIZI 18.05.16 3.901 $/NIS- בנק מזרחי טפחות,76005364,בנקים,דולר אמריקאי,16/02/16,"-800,000.00",-13.72,109.72,0.10,0.00,
,FW MIZI 29.08.2016 3.9 USD/NIS- בנק מזרחי טפחות,76005404,בנקים,דולר אמריקאי,24/02/16,"-2,800,000.00",-14.53,406.97,0.36,0.00,
,FW MIZI 7.7.16 3.925 $/NIS- בנק מזרחי טפחות,76005164,בנקים,דולר אמריקאי,07/01/16,"-12,500,000.00",-16.45,"2,056.17",1.83,0.00,
,MIZI  ISR 03.20 4.625%/5.805%- בנק מזרחי טפחות,31002901,בנקים,שקל חדש,01/11/15,"69,196,800.00",124.45,"86,115.94",76.73,0.15,
,MIZI  ISR 03.20 4.625%/5.805%- בנק מזרחי טפחות,31002902,בנקים,אירו,01/11/15,"-13,600,000.00",122.66,"-71,492.75",-63.70,-0.13,
,MIZI  ISR 3/19 5.125%/3.18%CPI- בנק מזרחי טפחות,31000300,בנקים,דולר אמריקאי,26/03/09,"6,000,000.00",80.13,"4,807.82",4.28,0.01,
,MIZI GAZIT 2022 5.52%/7.1%- בנק מזרחי טפחות,31007101,בנקים,שקל חדש,01/11/15,"35,518,612.50",135.37,"48,082.53",42.84,0.08,
,MIZI GAZIT 2022 5.52%/7.1%$- בנק מזרחי טפחות,31007102,בנקים,דולר אמריקאי,01/11/15,"-9,142,500.00",122.34,"-42,122.48",-37.53,-0.07,
,MIZI ING 04/1/22L+3.8%/6.945%- בנק מזרחי טפחות,31005801,בנקים,שקל חדש,01/11/15,"20,260,800.00",141.31,"28,631.32",25.51,0.05,
,MIZI ING 04/1/22L+3.8%/6.945%$- בנק מזרחי טפחות,31005802,בנקים,דולר אמריקאי,01/11/15,"-5,400,000.00",124.55,"-25,329.09",-22.57,-0.04,
,MIZI ISRAEL 06.22 5%/6.075%- בנק מזרחי טפחות,31004601,בנקים,שקל חדש,01/11/15,"22,988,700.00",138.66,"31,876.63",28.40,0.06,
,MIZI ISRAEL 06.22 5%/6.075%$- בנק מזרחי טפחות,31004602,בנקים,דולר אמריקאי,01/11/15,"-6,300,000.00",125.51,"-29,777.33",-26.53,-0.05,
,MIZI ORMAT 08.17 7%/8.44%- בנק מזרחי טפחות,31002601,בנקים,שקל חדש,01/11/15,"21,690,000.00",113.47,"24,611.51",21.93,0.04,
,MIZI ORMAT 08.17 7%/8.44%$- בנק מזרחי טפחות,31002602,בנקים,דולר אמריקאי,01/11/15,"-6,000,000.00",109.77,"-24,803.67",-22.10,-0.04,
,MIZI RABO 6/19 11%/11.43%- בנק מזרחי טפחות,31000701,בנקים,שקל חדש,01/11/15,"18,615,000.00",141.53,"26,345.02",23.47,0.05,
,MIZI RABO 6/19 11%/11.43%$- בנק מזרחי טפחות,31000702,בנקים,דולר אמריקאי,01/11/15,"-5,000,000.00",135.80,"-25,570.74",-22.78,-0.05,
,AM-DISCOUNT GAZIT SILVER FICUS 6%/5.60%- דיסקונט,31009901,בנקים,שקל חדש,01/11/15,"21,453,125.00",148.54,"31,867.03",28.39,0.06,
,AM-DISCOUNT GAZIT SILVER FICUS 6%/5.60%$- דיסקונט,31009902,בנקים,דולר אמריקאי,01/11/15,"-6,250,000.00",146.71,"-34,532.71",-30.77,-0.06,
,דיסקונט-CSA שקל- דיסקונט,1000531,בנקים,שקל חדש,29/10/14,"6,780,000.00",100.00,"6,780.00",6.04,0.01,
,5.845%$/5.4264% 11/19פקדון BLL- לאומי,31001602,בנקים,דולר אמריקאי,01/11/15,"-12,500,000.00",119.14,"-56,085.59",-49.97,-0.10,
,5.845%/5.4264% 11/19פקדון BLL- לאומי,31001601,בנקים,שקל חדש,01/11/15,"46,912,500.00",124.79,"58,541.22",52.16,0.10,
,BLL   ISR 03.20 4.625%/5.88%- לאומי,31002801,בנקים,שקל חדש,01/11/15,"28,945,800.00",124.75,"36,110.98",32.17,0.06,
,BLL   ISR 03.20 4.625%/5.88%- לאומי,31002802,בנקים,אירו,01/11/15,"-5,850,000.00",122.66,"-30,752.40",-27.40,-0.05,
,BLL  ISR 03.20 4.625%/5.59%- לאומי,31000901,בנקים,שקל חדש,01/11/15,"27,196,725.00",123.58,"33,610.22",29.95,0.06,
,BLL  ISR 03.20 4.625%/5.59%- לאומי,31000902,בנקים,אירו,01/11/15,"-5,350,000.00",122.66,"-28,123.99",-25.06,-0.05,
,BLL  ISR 03.20 4.625%/5.85%- לאומי,31003001,בנקים,שקל חדש,01/11/15,"29,382,800.00",124.63,"36,620.55",32.63,0.06,
,BLL  ISR 03.20 4.625%/5.85%- לאומי,31003002,בנקים,אירו,01/11/15,"-5,800,000.00",122.66,"-30,489.55",-27.17,-0.05,
,BLL  ISR 03.20 4.625%/5.86%- לאומי,31001101,בנקים,שקל חדש,01/11/15,"27,500,000.00",124.67,"34,285.07",30.55,0.06,
,BLL  ISR 03.20 4.625%/5.86%- לאומי,31001102,בנקים,אירו,01/11/15,"-5,500,000.00",122.66,"-28,912.51",-25.76,-0.05,
,BLL  ISR 03.20 4.625%/5.91%- לאומי,31001301,בנקים,שקל חדש,01/11/15,"22,324,500.00",124.88,"27,877.74",24.84,0.05,
,BLL  ISR 03.20 4.625%/5.91%- לאומי,31001302,בנקים,אירו,01/11/15,"-4,500,000.00",122.66,"-23,655.69",-21.08,-0.04,
,BLL  ISR 06.22 4%/5.3125%- לאומי,31006101,בנקים,שקל חדש,01/11/15,"19,998,900.00",133.66,"26,730.48",23.82,0.05,
,BLL  ISR 06.22 4%/5.3125%$- לאומי,31006102,בנקים,דולר אמריקאי,01/11/15,"-5,400,000.00",119.11,"-24,223.62",-21.58,-0.04,
,BLL BAC 5/18 5.65%/6.65%- לאומי,31001141,בנקים,שקל חדש,01/11/15,"16,548,500.00",117.74,"19,484.66",17.36,0.03,
,BLL BAC 5/18 5.65%/6.65%$- לאומי,31001142,בנקים,דולר אמריקאי,01/11/15,"-4,600,000.00",112.20,"-19,436.41",-17.32,-0.03,
,BLL HSBC 08.35 5.625%/6.9650%- לאומי,31006201,בנקים,שקל חדש,01/11/15,"6,545,000.00",195.93,"12,823.77",11.43,0.02,
,BLL HSBC 08.35 5.625%/6.9650%$- לאומי,31006202,בנקים,דולר אמריקאי,01/11/15,"-1,750,000.00",167.37,"-11,030.23",-9.83,-0.02,
,BLL HSBC 6/16 L+0.43/2.57% CPI- לאומי,31000111,בנקים,דולר אמריקאי,28/04/08,"5,000,000.00",53.59,"2,679.28",2.39,0.00,
,BLL ING 04/01/22  L+3.8%/7.18- לאומי,31004701,בנקים,שקל חדש,01/11/15,"16,562,900.00",142.85,"23,660.91",21.08,0.04,
,BLL ING 04/01/22  L+3.8%/7.18$- לאומי,31004702,בנקים,דולר אמריקאי,01/11/15,"-4,450,000.00",124.55,"-20,873.05",-18.60,-0.04,
,BLL ING 4/21 L+300BP/7.545%- לאומי,31003301,בנקים,שקל חדש,01/11/15,"36,130,000.00",140.00,"50,583.59",45.07,0.09,
,BLL ING 4/21 L+300BP/7.545%$- לאומי,31003302,בנקים,דולר אמריקאי,01/11/15,"-10,000,000.00",117.36,"-44,197.46",-39.38,-0.08,
,BLL ISR ELEC 12.27 7.75%/9.23%- לאומי,31005901,בנקים,שקל חדש,01/11/15,"10,062,090.00",196.42,"19,763.52",17.61,0.03,
,BLL ISR ELEC 12.27 7.75%/9.23%$- לאומי,31005902,בנקים,דולר אמריקאי,01/11/15,"-2,700,000.00",171.38,"-17,425.78",-15.53,-0.03,
,BLL LLOYDS 21/06/21  L+3M/7.34- לאומי,31003901,בנקים,שקל חדש,01/11/15,"34,750,000.00",138.75,"48,215.36",42.96,0.09,
,BLL LLOYDS 21/06/21  L+3M/7.34$- לאומי,31003902,בנקים,דולר אמריקאי,01/11/15,"-10,000,000.00",117.79,"-44,360.75",-39.52,-0.08,
,FW  BLL 27.10.2016 4.2790 Euro/NIS- לאומי,76005476,בנקים,אירו,09/03/16,"-7,000,000.00",1.16,-81.42,-0.07,0.00,
,FW Bank Leumi 11.05.16 3.9172 $/NIS- לאומי,76005188,בנקים,דולר אמריקאי,07/01/16,"-8,000,000.00",-15.27,"1,221.36",1.09,0.00,
,FW BLL 28.11.16 4.136 EUR/NIS- לאומי,76004888,בנקים,אירו,26/11/15,"-1,100,000.00",15.47,-170.16,-0.15,0.00,
,FW BLL 5.7.16 3.8892 $/NIS- לאומי,76005134,בנקים,דולר אמריקאי,04/01/16,"-17,800,000.00",-12.86,"2,288.93",2.04,0.00,
,FW BLL Hevra Le'Israel  28.04.16 3.77 $/NIS- לאומי,76005508,בנקים,דולר אמריקאי,30/03/16,"-9,900,000.00",-0.50,49.76,0.04,0.00,
,FW BLL M.LANEGEV  28.04.16 3.84085 $/NIS- לאומי,76005492,בנקים,דולר אמריקאי,23/03/16,"-1,360,000.00",-7.59,103.18,0.09,0.00,
,FW Leumi 06.09.2016 3.8656 USD/NIS- לאומי,76005468,בנקים,דולר אמריקאי,01/03/16,"-2,178,000.00",-11.16,242.97,0.22,0.00,
,FW LEUMI 2.08.16 3.94 $/NIS- לאומי,76005308,בנקים,דולר אמריקאי,01/02/16,"-11,400,000.00",-18.21,"2,076.24",1.85,0.00,
,FW LEUMI 26.10.16 3.835 $/NIS- לאומי,76005408,בנקים,דולר אמריקאי,17/03/16,"-3,800,000.00",-8.78,333.81,0.30,0.00,
