,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,,
,9. מוצרים מובנים,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",נכס הבסיס,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,
,"סה""כ מוצרים מובנים",,,,,,0.01,,,0.01,"31,777,619.17",,"119,207.00",,100.00,0.21,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,קרן מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,קרן לא מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן לא מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,מוצרים מאוגחים,,,,,,,,,,,,,,,,,,,,
,שכבת חוב (Tranch) בדרוג AA- ומעלה,,,,,,,,,,,,,,,,,,,,
,חמית  הנפקות 10 4.30% 6/2017- חמית-אמפא קפיטל,1127083,אשראי,Aa3,מידרוג,08/11/12,0.64,שקל חדש,4.30,0.79,"1,175,999.17",102.63,"1,206.93",0.00,1.01,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג AA- ומעלה",,,,,,0.64,,,0.79,"1,175,999.17",,"1,206.93",,1.01,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BBB- עד A+,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BBB- עד A+",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BB+ ומטה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BB+ ומטה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת הון (Equity Tranch),,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת הון (Equity Tranch)",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ מוצרים מאוגחים",,,,,,0.64,,,0.79,"1,175,999.17",,"1,206.93",,1.01,0.00,,,,,
,"סה""כ בישראל",,,,,,0.64,,,0.79,"1,175,999.17",,"1,206.93",,1.01,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,קרן מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,קרן לא מובטחת,,,,,,,,,,,,,,,,,,,,
,BAR US CHIPS 19/3/2024- BARCLAYS,XS0989217707,מניות,A-,S P,19/03/14,0.00,דולר אמריקאי,0.00,0.00,"30,601,620.00",102.39,"118,000.07",0.00,98.99,0.21,,,,,
,"סה""כ קרן לא מובטחת",,,,,,0.00,,,0.00,"30,601,620.00",,"118,000.07",,98.99,0.21,,,,,
,מוצרים מאוגחים,,,,,,,,,,,,,,,,,,,,
,שכבת חוב (Tranch) בדרוג AA- ומעלה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג AA- ומעלה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BBB- עד A+,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BBB- עד A+",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BB+ ומטה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BB+ ומטה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת הון (Equity Tranch),,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת הון (Equity Tranch)",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ מוצרים מאוגחים",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,,0.00,"30,601,620.00",,"118,000.07",,98.99,0.21,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
