,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,10. מוצרים מובנים,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",נכס הבסיס,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,
,"סה""כ מוצרים מובנים",,,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,קרן מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,קרן לא מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן לא מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,מוצרים מאוגחים,,,,,,,,,,,,,,,,,,,,
,שכבת חוב (Tranch) בדרוג AA- ומעלה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג AA- ומעלה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BBB- עד A+,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BBB- עד A+",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BB+ ומטה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BB+ ומטה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת הון (Equity Tranch),,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת הון (Equity Tranch)",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ מוצרים מאוגחים",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,קרן מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,קרן לא מובטחת,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרן לא מובטחת",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,מוצרים מאוגחים,,,,,,,,,,,,,,,,,,,,
,שכבת חוב (Tranch) בדרוג AA- ומעלה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג AA- ומעלה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BBB- עד A+,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BBB- עד A+",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת חוב (Tranch) בדרוג BB+ ומטה,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת חוב (Tranch) בדרוג BB+ ומטה",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,שכבת הון (Equity Tranch),,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ שכבת הון (Equity Tranch)",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ מוצרים מאוגחים",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
