,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,
,6. קרנות נאמנות,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,
,"סה""כ תעודות השתתפות בקרנות נאמנות",,,,,,,,"52,735,276.61",,"2,614,703.67",,100.00,4.61,,
,תעודות השתתפות בקרנות נאמנות בישראל,,,,,,,,,,,,,,,
,0,0,,,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בישראל",,,,,,,,0.00,,0.00,,0.00,0.00,,
,"תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,,,,,,,,
,ABERDEEN GL EMMKT EQTY I2- Aberdeen Asset Management,LU0231479717,אחר,8328,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"276,664.95","6,159.09","64,172.80",1.12,2.45,0.11,,
,ABERDEEN GL- JAPAN- Aberdeen Asset Management,LU0231474593,אחר,8328,"אג""ח מובנות",0,לא מדורג,יין יפני,"13,081.62","9,217,238.09","40,429.27",1.43,1.55,0.07,,
,ACS GLOBAL EQUITY FUNDS- Heptagon  Capital LLP,KYG4506E1035,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"67,914.00","15,095.00","38,607.59",0.00,1.48,0.07,,
,Alken European Opportunities- Alken,LU0235308482,אחר,9021,"אג""ח מובנות",0,לא מדורג,אירו,"182,048.00","19,067.00","148,757.86",0.00,5.69,0.26,,
,Allianz Europe Growth RCMEWTE LX- Allianz,LU0256883504,אחר,9084,"אג""ח מובנות",0,לא מדורג,אירו,"10,864.00","206,438.00","96,114.97",2.57,3.68,0.17,,
,Artemis Global Income- ARTEMIS,GB00B5ZX1M70,אחר,8275,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"14,378,944.00",100.29,"78,259.39",0.00,2.99,0.14,,
,Blackrock EM Index,IE00B3D07N99,ISE,8464,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"1,086,913.00","1,197.20","49,005.16",0.00,1.87,0.09,,
,DB PLATINUM CROCI SECTOR-I2C- DEUTSCHE BANK,LU0419225080,אחר,8229,"אג""ח מובנות",0,לא מדורג,אירו,"123,889.98","27,692.00","147,028.71",14.69,5.62,0.26,,
,DB Platinum Croci US- DEUTSCHE BANK,LU0194165345,אחר,8229,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"130,110.00","24,467.00","119,886.90",6.99,4.59,0.21,,
,Edgewood US Select- Edgewood,LU0952587862,אחר,9139,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"107,949.00","13,994.00","56,890.64",2.14,2.18,0.10,,
,EDRAM ESF FCP- Edmond de Rothschild,FR0011789627,אחר,8324,"אג""ח מובנות",0,לא מדורג,אירו,"210,261.00","11,047.00","99,543.91",18.35,3.81,0.18,,
,GVF FCP- Edmond de Rothschild,FR0012833663,אחר,8324,"אג""ח מובנות",0,לא מדורג,אירו,"71,550.00","9,069.00","27,808.70",18.18,1.06,0.05,,
,Investec UK Alpha- Investec,GB00B7LM4J06,אחר,9125,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"3,662,665.20",172.61,"34,309.55",0.00,1.31,0.06,,
,JO Hambro Asia,IE00B435PM67,ISE,8387,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"10,182,972.00",144.20,"55,299.36",0.00,2.11,0.10,,
,JUP EURO SP SITS- Jupiter,GB0004911540,אחר,1284,"אג""ח מובנות",0,לא מדורג,לירה שטרלינג,"6,368,595.11",329.26,"113,797.95",4.59,4.35,0.20,,
,Nicholas US Fund- Nicholas,IE00BYZTVX92,אחר,9131,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"239,718.48","9,644.86","87,071.85",18.18,3.33,0.15,,
,NORDEA 1 NTH AM H.YIELD- NORDEA  INVESTING FUNDS,LU0826398538,אחר,9107,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"164,123.09","10,930.00","67,556.97",14.67,2.58,0.12,,
,Oppenheimer Emerging Markets- Heptagon  Capital LLP,IE00B6ZZNB36,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"297,014.00","10,490.12","117,337.73",9.98,4.49,0.21,,
,Oppenheimer Global Value- Heptagon  Capital LLP,IE00BH4GYF54,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"253,323.00","9,149.53","87,287.84",18.00,3.34,0.15,,
,Pictet Global Megatrend Z CLASS- PICTET FUNDS EUROPE SA,LU0386869092,אחר,8453,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"190,861.00","23,466.00","168,669.51",8.95,6.45,0.30,,
,Pictet Japan Opportunities Z- PICTET FUNDS EUROPE SA,LU047496762,אחר,8453,"אג""ח מובנות",0,לא מדורג,יין יפני,"320,570.49","871,942.01","93,722.68",15.48,3.58,0.17,,
,Pictet Pacific Ex Japan Index- PICTET FUNDS EUROPE SA,LU0232587906,אחר,8453,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"38,383.00","34,512.00","49,887.23",6.79,1.91,0.09,,
,Pimco US Fundamental- PIMCO,GIE00BCZXQR63,אחר,9005,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"2,769,844.18","1,238.00","129,138.67",0.00,4.94,0.23,,
,Reyl EM- Reyl,LU0704154458,אחר,9049,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"214,360.99","14,941.00","120,616.23",2.68,4.61,0.21,,
,Sands Capital US Growth- Sands Capital,IE00B87KLW75,אחר,9050,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"3,018,175.00","1,334.00","151,628.40",14.61,5.80,0.27,,
,SPARX Japan- Sparx,IE00BNGY0956,אחר,9115,"אג""ח מובנות",0,לא מדורג,יין יפני,"88,031.00","1,189,106.38","35,098.61",4.46,1.34,0.06,,
,Sphera Healthcare- SPHERA,KYG8347N1566,אחר,9006,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"55,452.00","20,814.20","43,466.76",0.00,1.66,0.08,,
,THEAM Quant - Equity Europe Guru- THEAM BNP,LU1235105779,אחר,9083,"אג""ח מובנות",0,לא מדורג,אירו,"60,590.49","25,381.00","65,905.98",3.24,2.52,0.12,,
,THREADNEEDLE EUROPE SELECT- Threadneedle,GB0030810138,אחר,9063,"אג""ח מובנות",0,לא מדורג,אירו,"6,287,639.97",324.82,"87,527.00",0.00,3.35,0.15,,
,Threadneedle US HY- Threadneedle,LU0957784613,אחר,9063,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"1,787,402.92","1,024.00","68,929.12",0.00,2.64,0.12,,
,Voya - Senior Loans- NN PARTNERS,LU0426533492,אחר,9146,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,722.69,"1,033,416.00","28,125.97",0.00,1.08,0.05,,
,Yacktman US- Heptagon  Capital LLP,IE00B61H9W66,אחר,8396,"אג""ח מובנות",0,לא מדורג,דולר אמריקאי,"74,642.45","15,232.96","42,820.38",1.88,1.64,0.08,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,"52,735,276.61",,"2,614,703.67",,100.00,4.61,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
