,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1. ו. זכויות במקרקעין:,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,תאריך שערוך אחרון,אופי הנכס,שעור תשואה במהלך התקופה,סוג מטבע,שווי משוערך,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,תאריך,,אחוזים,,₪ אלפי ,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),,,,,
,"סה""כ מקרקעין",,,5.11,,"129,862.50",100.00,0.07,,,,,
,בישראל,,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,ירושלים בן יהודה 11- מקרקעין,31/12/15,השכרה,-2.21,שקל חדש,"18,600.00",14.32,0.01,,,,,
,ירושלים מסילת הישרים 6- מקרקעין,31/12/15,השכרה,7.23,שקל חדש,"27,000.00",20.79,0.01,,,,,
,קניון סביונים- סביונים,31/12/15,קניון,6.59,שקל חדש,"14,685.00",11.31,0.01,,,,,
,זכויות בניה רננים- רננים,31/12/15,קניון,0.00,שקל חדש,"3,704.44",2.85,0.00,,,,,
,קניון רננים- רננים,31/12/15,קניון,6.27,שקל חדש,"65,873.06",50.73,0.03,,,,,
,"סה""כ מניב",,,5.11,,"129,862.50",100.00,0.07,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,5.11,,"129,862.50",100.00,0.07,,,,,
,"בחו""ל",,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ מניב",,,0.00,,0.00,0.00,0.00,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,0.00,,0.00,0.00,0.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
