,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
,"סה""כ מניות",,,,,,"547,422,551.64",,"649,748.64",,100.00,0.34,,,,,
,בישראל,,,,,,,,,,,,,,,,
,ת.ש.י דרכים מר דרך א 24.06.13- IIF*,6387,,8447,אחר,שקל חדש,"53,403,541.00",157.22,"83,963.62",0.00,12.92,0.04,,,,,
,ת.ש.י דרכים שמ מר דרך א- IIF*,6254,,8447,אחר,שקל חדש,"52,646,557.00",175.88,"92,597.13",0.00,14.25,0.05,,,,,
,אפיק(רום)-הש- אפיק רום,20115,,8053,אחר,שקל חדש,193.00,0.00,0.00,0.00,0.00,0.00,,,,,
,אפיק(רום)-שה- אפיק רום,20123,,8053,אחר,שקל חדש,"1,989,690.00",0.01,0.20,0.00,0.00,0.00,,,,,
,בניני האומה מר- בניני האומה,44024,,8350,אחר,שקל חדש,25.00,0.01,0.00,0.00,0.00,0.00,,,,,
,גני נצרת מר- גני נצרת*,79871,,8042,אחר,שקל חדש,"3,999.00","1,071,342.84","42,843.00",0.00,6.59,0.02,,,,,
,ה.מדרוג מניות מינוי א- החזקות מדרוג,83519,,8050,אחר,שקל חדש,1.00,1.00,0.00,0.00,0.00,0.00,,,,,
,ה.מדרוג מר א- החזקות מדרוג,83501,,8050,אחר,שקל חדש,"4,000.00","67,500.00","2,700.00",0.00,0.42,0.00,,,,,
,ח.ב.ע. מר א- ח.ב.ע,729814,,8353,אחר,שקל חדש,"105,626.00",0.01,0.01,0.00,0.00,0.00,,,,,
,ח.ב.ע. מר ב- ח.ב.ע,729822,,8353,אחר,שקל חדש,"336,612.00",0.01,0.03,0.00,0.00,0.00,,,,,
,ח.ב.ע. מר ג- ח.ב.ע,729830,,8353,אחר,שקל חדש,"530,635.00",0.01,0.05,0.00,0.00,0.00,,,,,
,ח.ב.ע. מר ד- ח.ב.ע,729848,,8353,אחר,שקל חדש,"48,642.00",0.01,0.00,0.00,0.00,0.00,,,,,
,מבטחים לעתיד- חברת מבטחים,23093,,8355,אחר,שקל חדש,"1,000.00",0.01,0.00,0.00,0.00,0.00,,,,,
,"*יהב אחזקות יו.אס.איי בע""מ מ""ר 0.01 ש""ח- יהב אחזקות יו.אס.איי בע""מ",45153,,9087,אחר,שקל חדש,100.00,0.01,0.00,100.00,0.00,0.00,,,,,
,מקורות מים בעמ מר ג- מקורות,44032,,1150,אחר,שקל חדש,"236,640.00",0.01,0.02,0.00,0.00,0.00,,,,,
,משען-חב.רגיל- מרכז משען בעמ,2360,,8049,אחר,שקל חדש,1.00,0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק -בכ'ב- קרן השקעות,729970,,8043,אחר,שקל חדש,"19,300,000.00",0.01,1.93,0.00,0.00,0.00,,,,,
,ק.השק מר ג'- ק השקעות מר,729731,,8365,השקעות ואחזקות,שקל חדש,"70,693.00",0.01,0.01,0.00,0.00,0.00,,,,,
,ק.השקעות מר א- ק השקעות מר,23275,,8365,השקעות ואחזקות,שקל חדש,"112,089.00",0.01,0.01,0.00,0.00,0.00,,,,,
,קופת פועלים פלחים- קופת פועלים פלחים,23267,,8366,השקעות ואחזקות,שקל חדש,"10,000.00",0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק מר ד'- קרן השקעות,729749,,8043,השקעות ואחזקות,שקל חדש,"225,420,498.00",0.01,22.54,0.00,0.00,0.00,,,,,
