,תאריך הדיווח,31/03/2016,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1.א. מזומנים ושווי מזומנים,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,סוג מטבע,שיעור ריבית,תשואה לפידיון,שווי שוק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,,,אחוזים,אחוזים,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),
,"סה""כ מזומנים ושווי מזומנים",,,,,,,0.00,"2,776,143.52",100.00,1.44,
,בישראל,,,,,,,,,,,
,"יתרת מזומנים ועו""ש בש""ח",,,,,,,,,,,
,עו'ש- בנק איגוד,1111111111- 13- בנק איגוד,13,0,לא מדורג,שקל חדש,0.00,0.00,361.93,0.01,0.00,
,עו'ש- בנק דיסקונט,1111111111- 11- בנק דיסקונט,11,0,לא מדורג,שקל חדש,0.00,0.00,"2,423.84",0.09,0.00,
,עו'ש- בנק הבינלאומי,1111111111- 31- בנק הבינלאומי,31,0,לא מדורג,שקל חדש,0.00,0.00,14.78,0.00,0.00,
,עו'ש- בנק הפועלים,1111111111- 12- בנק הפועלים,12,0,לא מדורג,שקל חדש,0.00,0.00,0.20,0.00,0.00,
,עו'ש- בנק לאומי,1111111111- 10- בנק לאומי,10,0,לא מדורג,שקל חדש,0.00,0.00,"406,823.98",14.65,0.21,
,עו'ש- בנק מזרחי,1111111111- 20- בנק מזרחי,20,0,לא מדורג,שקל חדש,0.00,0.00,0.00,0.00,0.00,
,עו'ש- בנק מזרחי,1111111111- 20- בנק מזרחי,20,0,לא מדורג,שקל חדש,0.00,0.00,4.08,0.00,0.00,
,עו'ש- יו-בנק,1111111111- 26- יו-בנק,26,0,לא מדורג,שקל חדש,0.00,0.00,"1,400.30",0.05,0.00,
,עו'ש- פועלים סהר,1111111111- 33- פועלים סהר,12,0,לא מדורג,שקל חדש,0.00,0.00,0.00,0.00,0.00,
,"סה""כ יתרת מזומנים ועו""ש בש""ח",,,,,,,0.00,"411,029.12",14.81,0.21,
,"יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,,,,,
,יין יפני- בנק לאומי,1000389- 10- בנק לאומי,10,0,לא מדורג,יין יפני,0.00,0.00,"122,881.32",4.43,0.06,
,דולר ארהב- בנק הפועלים,1000280- 12- בנק הפועלים,12,0,לא מדורג,דולר אמריקאי,0.00,0.00,"3,270.14",0.12,0.00,
,דולר ארהב- בנק לאומי,1000280- 10- בנק לאומי,10,0,לא מדורג,דולר אמריקאי,0.00,0.00,"324,614.87",11.69,0.17,
,דולר ארהב- בנק מזרחי,1000280- 20- בנק מזרחי,20,0,לא מדורג,דולר אמריקאי,0.00,0.00,"13,600.48",0.49,0.01,
,דולר ארהב- פועלים סהר,1000280- 33- פועלים סהר,12,0,לא מדורג,דולר אמריקאי,0.00,0.00,"35,346.88",1.27,0.02,
,יורו- בנק הפועלים,1000298- 12- בנק הפועלים,12,0,לא מדורג,אירו,0.00,0.00,21.43,0.00,0.00,
,יורו- בנק לאומי,1000298- 10- בנק לאומי,10,0,לא מדורג,אירו,0.00,0.00,"4,449.18",0.16,0.00,
,יורו- בנק מזרחי,1000298- 20- בנק מזרחי,20,0,לא מדורג,אירו,0.00,0.00,25.71,0.00,0.00,
,יורו- פועלים סהר,1000298- 33- פועלים סהר,12,0,לא מדורג,אירו,0.00,0.00,"29,929.50",1.08,0.02,
,לישט- בנק לאומי,1000306- 10- בנק לאומי,10,0,לא מדורג,לירה שטרלינג,0.00,0.00,"9,305.90",0.34,0.00,
,לישט- פועלים סהר,1000306- 33- פועלים סהר,12,0,לא מדורג,לירה שטרלינג,0.00,0.00,0.00,0.00,0.00,
,"סה""כ יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,"543,445.41",19.58,0.28,
,"פח""ק/פר""י",,,,,,,,,,,
