,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"סה""כ  פקדונות מעל 3 חודשים",,,,,0.94,,,1.12,"2,464,269,825.22",,"5,762,889.48",100.00,2.98,,,,,
,בישראל,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,
,בלל 2018 4%- לאומי,74000670,10,AAA,מעלות,2.17,שקל חדש,4.00,0.55,"100,000,000.00",124.23,"124,230.00",2.16,0.06,,,,,
,בלל פקדון 2025- לאומי,6401814,10,AAA,מעלות,4.60,שקל חדש,5.90,0.88,"30,439,982.88",170.24,"51,821.03",0.90,0.03,,,,,
,טפחות  6.70%- בנק מזרחי טפחות,6683247,20,AAA,מעלות,2.43,שקל חדש,6.70,0.38,"16,584,145.75",154.99,"25,703.77",0.45,0.01,,,,,
,טפחות 6.10%- בנק מזרחי טפחות,6682330,20,AAA,מעלות,1.93,שקל חדש,6.10,0.31,"5,785,943.84",145.43,"8,414.50",0.15,0.00,,,,,
,טפחות 6.70%- בנק מזרחי טפחות,6683254,20,AAA,מעלות,2.44,שקל חדש,6.70,0.37,"4,146,036.38",155.01,"6,426.77",0.11,0.00,,,,,
,מזרחי טפחות-פקדון- בנק מזרחי טפחות,6683551,20,AAA,מעלות,2.54,שקל חדש,5.22,0.42,"20,000,000.00",138.89,"27,778.00",0.48,0.01,,,,,
,פועלים 2018 4%- בנק הפועלים,6621080,12,AAA,מעלות,2.17,שקל חדש,4.00,0.45,"100,000,000.00",124.48,"124,480.00",2.16,0.06,,,,,
,פועלים 5.1%- בנק הפועלים,6620223,12,AAA,מעלות,2.17,שקל חדש,5.10,0.35,"20,000,000.00",137.16,"27,432.00",0.48,0.01,,,,,
,פקדון בלל 5.2.35 2.4%- לאומי,76005154,10,AAA,מעלות,23.53,שקל חדש,2.40,0.15,"30,719,811.36",100.13,"30,759.75",0.53,0.02,,,,,
,לאומי   למשכנתאות- לאומי משכנתאות,6021398,10,AA+,מעלות,0.56,שקל חדש,5.50,0.11,"1,812,608.68",135.73,"2,460.25",0.04,0.00,,,,,
,לאומי  למשכנתאות- לאומי משכנתאות,6027064,10,AA+,מעלות,1.84,שקל חדש,6.05,0.37,"3,235,852.33",146.15,"4,729.20",0.08,0.00,,,,,
,לאומי למשכנתאות- לאומי משכנתאות,6027056,10,AA+,מעלות,4.22,שקל חדש,5.85,0.73,"8,417,444.00",169.23,"14,244.84",0.25,0.01,,,,,
,דקסיה -א.השלטון 2018- בנק דקסיה ישראל,6396352,68,AA-,מעלות,1.14,שקל חדש,6.35,0.54,"4,920,000.00",134.20,"6,602.64",0.11,0.00,,,,,
,"סה""כ צמוד מדד",,,,,3.96,,,0.50,"346,061,825.22",,"455,082.74",7.90,0.24,,,,,
,לא צמוד,,,,,,,,,,,,,,,,,,
,מזרחי פקדון 14.12.19 7.1%- בנק מזרחי טפחות,76003200,20,AAA,מעלות,3.36,שקל חדש,7.10,1.89,"50,000,000.00",120.56,"60,280.00",1.05,0.03,,,,,
,מזרחי פקדון 25.01.15 7.2%- בנק מזרחי טפחות,74004956,20,AAA,מעלות,3.47,שקל חדש,7.20,1.93,"140,000,000.00",120.52,"168,728.00",2.93,0.09,,,,,
