,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,"סה""כ תעודות סל",,,,,,"147,226,307.00",,"9,584,941.80",,100.00,4.96,,
,בישראל,,,,,,,,,,,,,
,שמחקות מדדי מניות בישראל,,,,,,,,,,,,,
,"הראל סל ת""א 25- הראל סל בעמ",1113703,TASE,8317,תעודות סל,שקל חדש,"1,681,200.00","1,453.00","24,427.84",1.97,0.25,0.01,,
,"הראל סל ת""א 75- הראל סל בעמ",1113745,TASE,8317,תעודות סל,שקל חדש,"12,823,525.00",736.20,"94,406.79",5.13,0.98,0.05,,
,הראל סל תל אביב 100- הראל סל בעמ,1113232,TASE,8317,תעודות סל,שקל חדש,"6,901,686.00","1,249.00","86,202.06",3.34,0.90,0.04,,
,"פסגות סל  ת""א 75- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1113307,TASE,1167,תעודות סל,שקל חדש,"10,640,005.00",735.10,"78,214.68",10.20,0.82,0.04,,
,"פסגות סל תא  100 סד-1- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096593,TASE,1167,תעודות סל,שקל חדש,"5,675,866.00","1,251.00","71,005.08",3.89,0.74,0.04,,
,"פסגות סל תא  75 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1096486,TASE,1167,תעודות סל,שקל חדש,"18,948,612.00",720.20,"136,467.90",2.39,1.42,0.07,,
,"פסגות סל תא 100 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125327,TASE,1167,תעודות סל,שקל חדש,"14,933,694.00","1,249.00","186,521.84",5.86,1.95,0.10,,
,"פסגות סל תא 25 סד-2- פסגות (מדדים/תאלי) תעודות סל -בע""מ",1125319,TASE,1167,תעודות סל,שקל חדש,"726,243.00","1,451.00","10,537.79",0.23,0.11,0.01,,
,"קסם יתר 50- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116938,TASE,1170,תעודות סל,שקל חדש,"220,968.00","5,500.00","12,153.24",2.31,0.13,0.01,,
,"קסם סמ 31 תא75- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117241,TASE,1170,תעודות סל,שקל חדש,"5,059,728.00","7,085.00","358,481.73",6.32,3.74,0.19,,
,"קסם סמ 9  ת""א25- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1116979,TASE,1170,תעודות סל,שקל חדש,"89,062.00","14,490.00","12,905.08",0.32,0.13,0.01,,
,"קסםסמ 33 תא 100- ק.ס.ם תעודות סל ומוצרי מדדים בע""מ",1117266,TASE,1170,תעודות סל,שקל חדש,"957,028.00","12,510.00","119,724.20",0.93,1.25,0.06,,
,"תכלית ת""א 75- תכלית גלובל בע""מ",1105386,TASE,1261,תעודות סל,שקל חדש,"25,125,007.00",735.00,"184,668.80",2.57,1.93,0.10,,
,"תכלית תא 25- תכלית תעודות סל בע""מ",1091826,TASE,8337,תעודות סל,שקל חדש,"1,698,867.00","1,452.00","24,667.55",0.85,0.26,0.01,,
,"תכלית תל אביב 100- תכלית תעודות סל בע""מ",1091818,TASE,8337,תעודות סל,שקל חדש,"1,735,373.00","12,490.00","216,748.09",4.20,2.26,0.11,,
,"סה""כ שמחקות מדדי מניות בישראל",,,,,,"107,216,864.00",,"1,617,132.67",,16.87,0.84,,
,שמחקות מדדים אחרים בישראל,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
