,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,9.20,,,0.61,"15,370,623,283.24",,"17,611,489.23",,100.00,95.10,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,
,חץ,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חץ",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,ערד,,,,,,,,,,,,,,,,,,,
,ערד 8774 02.01.26 4.8%- ממשלת ישראל,8287740,RF,מעלות,02/01/11,8.19,שקל חדש,4.80,0.38,"188,571,000.00",149.16,"281,264.70",0.00,1.60,1.52,,,,,
,ערד 8798 01.01.28 4.8%- ממשלת ישראל,8287989,RF,מעלות,01/01/13,9.59,שקל חדש,4.80,0.54,"57,618,000.00",149.67,"86,239.29",0.00,0.49,0.47,,,,,
,ערד 8807 01.10.28 4.8%- ממשלת ישראל,8288078,RF,מעלות,01/10/13,10.02,שקל חדש,4.80,0.59,"126,456,000.00",153.13,"193,646.50",0.00,1.10,1.05,,,,,
,ערד 8822 1.1.30 4.8%- ממשלת ישראל,8288227,RF,מעלות,01/01/15,10.93,שקל חדש,4.80,0.65,"9,850,000.00",155.63,"15,329.93",0.00,0.09,0.08,,,,,
,ערד 8835 01.02.31 4.8%- ממשלת ישראל,8288359,RF,מעלות,01/02/16,11.67,שקל חדש,4.80,0.70,"17,243,000.00",158.46,"27,322.82",0.00,0.16,0.15,,,,,
,"סה""כ ערד",,,,,9.21,,,0.49,"399,738,000.00",,"603,803.24",,3.43,3.26,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,מירון 8291- ממשלת ישראל,8182917,RF,מעלות,01/12/96,0.66,שקל חדש,5.50,-0.51,"600,000.00",164.56,987.37,0.00,0.01,0.01,,,,,
,מירון 8297- ממשלת ישראל,8182974,RF,מעלות,01/06/97,0.66,שקל חדש,5.50,-0.35,"2,800,000.00",156.83,"4,391.21",0.00,0.02,0.02,,,,,
,מירון 8303- ממשלת ישראל,8183030,RF,מעלות,01/12/97,1.14,שקל חדש,5.50,-0.27,"3,000,000.00",154.65,"4,639.55",0.00,0.03,0.03,,,,,
,מירון 8309- ממשלת ישראל,8183097,RF,מעלות,01/06/98,1.22,שקל חדש,5.50,-0.29,"4,200,000.00",153.99,"6,467.74",0.00,0.04,0.03,,,,,
,מירון 8315- ממשלת ישראל,8183154,RF,מעלות,01/12/98,1.68,שקל חדש,5.50,-0.29,"2,800,000.00",149.63,"4,189.64",0.00,0.02,0.02,,,,,
,"סה""כ מירון",,,,,1.15,,,-0.31,"13,400,000.00",,"20,675.50",,0.12,0.11,,,,,
,"פיקדונות חשכ""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ פיקדונות חשכ""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,,
,נתיב ס.מ.ישיר 31.12.15- ממשלת ישראל,7893497,RF,מעלות,31/03/16,9.21,שקל חדש,0.00,0.62,"14,957,485,283.24",113.57,"16,987,010.49",0.00,96.45,91.73,,,,,
,"סה""כ אחר",,,,,9.21,,,0.62,"14,957,485,283.24",,"16,987,010.49",,96.45,91.73,,,,,
,"סה""כ בישראל",,,,,9.20,,,0.61,"15,370,623,283.24",,"17,611,489.23",,100.00,95.10,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,
