managing_body,fund,fund_name,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_id,orig_instrument_id,instrument_name,issuer,activity_industry,currency,fair_value,market_cap,rate_of_fund,rating_agency,reference_index,intrest_rate,date_of_purchase,average_of_duration,date_of_revaluation,rate,yield,rating,par_value,tmp_name,underlying_asset,type_of_asset,rate_of_ipo,liquidity,asset_type
clal,99078,"כלל-אג""ח ופקדונות***",2015,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,5244248.17,0,0.292277408,מעלות,null,4.29,null,1.18,null,123.5,0.17,AA-,4246354.79,null,null,null,0.747930007,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,2141025.7,0,0.001691761,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,1639000,null,null,null,0.001924565,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1864969.74,0,0.001433899,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,1461117,null,null,null,0.001715689,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,5580486.15,0,0.004123327,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,4336716,null,null,null,0.005092307,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,6082737.13,0,0.004343812,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,4666465,null,null,null,0.005479509,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,6237255.21,0,0.004307454,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,4733441,null,null,null,0.005558154,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,6485175.05,0,0.004280256,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,5106035,null,null,null,0.005995666,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,8024969.59,0,0.005071162,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,6369529,null,null,null,0.0074793,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,8013504.43,0,0.0048237,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,6369529,null,null,null,0.0074793,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,7071573.73,0,0.415879713,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,4866878,null,null,null,0.388734329,סחיר,"אג""ח קונצרני"
clal,99078,"כלל-אג""ח ופקדונות***",2015,3,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,6723884.89,0,0.36886788,מעלות,null,6.4,1/23/1900,4.01,null,139.99,1.3,A,4803118,null,null,null,0.383641598,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,343315.23,0,0.000808786,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,262815,null,null,null,0.000308606,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,335457.07,0,0.000731196,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,262815,null,null,null,0.000308606,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,338190.34,0,0.000718561,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,262815,null,null,null,0.000308606,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2013,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,425737.44,0,0.000898496,מעלות,null,0.0429,null,2.33,null,130.35,0.0059,A+,326611,null,null,null,0.000383517,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2013,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,430375.31,0,0.000911514,מעלות,null,0.0429,null,2.09,null,131.77,0.0008,A+,326611,null,null,null,0.000383517,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2014,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1126954.65,0,0.002432776,מעלות,null,0.0429,null,1.91,null,127.01,-0.0036,A+,887296,null,null,null,0.001041891,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2014,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1117904.23,0,0.002436644,מעלות,null,0.0429,null,1.66,null,125.99,0.0036,A+,887296,null,null,null,0.001041891,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2014,3,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1116307.1,0,0.002460201,מעלות,null,0.0429,null,1.41,null,125.81,0.0074,A+,887296,null,null,null,0.001041891,סחיר,"אג""ח קונצרני"
clal,99084,"כלל-חסכון בטוחה תיק מנוהל אג""ח 1",2014,4,ניירות ערך סחירים,"אג""ח קונצרני",7480098,IL0074800983,דיסק מנ שה נד 1,דיסקונט,בנקים,NIS,1065621.48,0,0.242993707,מעלות,null,6.4,null,4.6,null,145.3,1.15,A,733394,null,null,null,0.058578708,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2015,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,1133695.99,0,0.195707614,מעלות,null,4.29,null,1.18,null,123.5,0.17,AA-,917972.46,null,null,null,0.161686713,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2012,4,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,470777.46,0,0.001133938,מעלות,null,0.0429,null,2.97,null,130.63,0.0098,A+,360390,null,null,null,0.000423181,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2013,1,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,460001.8,0,0.000990204,מעלות,null,0.0429,null,2.84,null,127.64,0.0053,A+,360390,null,null,null,0.000423181,סחיר,"אג""ח קונצרני"
clal,99085,"כלל-חסכון בטוחה תיק מנוהל אג""ח 2",2013,2,ניירות ערך סחירים,"אג""ח קונצרני",7480072,IL0074800728,דיסקונט מנ הת ח,דיסקונט,בנקים,NIS,463749.85,0,0.000935707,מעלות,null,0.0429,null,2.58,null,128.68,0.0054,A+,360390,null,null,null,0.000423181,סחיר,"אג""ח קונצרני"
